"school","letter","final_exam","course","class","gender","ethnic","major","tx_birth","tx_hs","zip","hs_chem","math_comp","curr_math","grand","parent","emp_on","emp_off","hrs","chem1","chem2","version","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must","Q1A","Q1C","Q2A","Q2C","Q3A","Q3C","Q4A","Q4C","Q5A","Q5C","Q6A","Q6C","comm","pass","alg","conc","gp_edu"
"ACUP","B",80,81.2,"SO",0,"White","med","Y","Y","79","None","4","5","Y","Y","N","N","0",1,"N",78,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,11,1,0,1,0,1,0,0,0,1,1,1,0,6,1,5,1,"YY"
"ACUP","C",72,73.5,"FR",1,"White","other","Y","Y","79","Reg","1","None","Y","Y","N","N","0",1,"Y",78,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,14,1,1,1,1,1,1,1,1,0,0,1,1,10,1,5,5,"YY"
"ACUP","D",63,65.3,"JR",1,"Hisp","stem","Y","Y","78","PAP AP ","2","None","Y","Y","N","N","1-10",1,"Y",78,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,1,0,0,1,0,0,0,1,0,1,6,0,2,4,"YY"
"ACUP","D",62,64.1,"SO",0,"Black","med","Y","Y","75","Reg","4","None","Y","Y","N","Y","20-29",1,"Y",78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,1,0,1,1,1,0,7,0,4,3,"YY"
"ACUP","D",58,66.9,"FR",1,"White","stem","Y","Y","79","PAP","3","None","N","N","N","N","0",1,"Y",87,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,11,1,1,0,1,0,0,1,0,1,1,1,1,8,0,4,4,"NN"
"ACUP","A",90,91.5,"FR",0,"White","med","Y","Y","76","AP","4","None","Y","Y","N","N","0",1,"Y",78,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,13,1,1,1,1,1,0,0,1,1,1,1,1,10,1,5,5,"YY"
"ACUP","B",90,89.4,"SR",1,"Hisp","stem","Y","N","88","PAP","67","None","Y","Y","N","Y","11-19",1,"Y",78,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,11,1,1,1,1,1,1,1,0,1,1,1,0,10,1,6,4,"YY"
"ACUP","B",80,83.4,"FR",0,"Black","med","Y","Y","76","PAP","456","None","Y","Y","N","N","0",1,"Y",87,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,11,1,0,0,1,0,0,1,0,1,1,1,1,7,1,4,3,"YY"
"ACUP","B",91,86.6,"FR",0,"Hisp","med","Y","Y","75","PAP","56","None","N","Y","N","N","0",1,"N",78,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,10,1,1,1,1,1,0,1,1,1,1,1,1,11,1,6,5,"NY"
"ACUP","A",92,93.9,"FR",0,"White","med","Y","Y","78","PAP AP ","5","None","Y","Y","N","N","0",1,"Y",87,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,18,1,0,1,1,1,0,1,1,1,1,1,1,10,1,6,4,"YY"
"ACUP","B",78,80.9,"SO",1,"Hisp","med","Y","Y","79","PAP","5","None","N","N","N","Y","20-29",1,"Y",87,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,10,1,1,1,1,1,0,1,1,0,1,1,0,9,1,5,4,"NN"
"ACUP","F",54,55.8,"SO",1,"White","stem","Y","Y","78","Reg","1","5","N","Y","N","N","0",1,"Y",78,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,6,1,1,1,1,1,0,1,0,0,0,1,1,8,0,5,3,"NY"
"ACUP","A",92,90.1,"SR",0,"White","dual","Y","Y","75","PAP","34","None","Y","Y","N","N","0",1,"N",87,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,10,1,1,1,1,1,0,1,1,1,1,1,1,11,1,6,5,"YY"
"ACUP","D",52,60.2,"SO",0,"Hisp","med","Y","Y","78","Reg","45","None","Y","Y","N","N","0",1,"Y",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,5,0,2,3,"YY"
"ACUP","C",78,76,"SO",1,"White","stem","Y","Y","76","PAP","67","7","Y","Y","Y","Y","11-19",1,"N",87,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,11,1,1,1,1,1,0,1,0,0,1,1,1,9,1,5,4,"YY"
"ACUP","A",88,91.6,"FR",0,"White","med","Y","Y","79","Reg","1","None","Y","Y","N","N","0",1,"Y",87,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,11,1,0,1,1,1,0,1,1,0,1,1,1,9,1,5,4,"YY"
"ACUP","A",94,93.8,"FR",0,"White","med","Y","Y","77","PAP","35","None","Other","Y","N","N","0",1,"Y",78,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,11,1,1,1,1,1,1,1,0,1,1,1,0,10,1,6,4,"N/A"
"ACUP","A",92,92.4,"FR",0,"Hisp","med","Y","N","76","PAP AP ","45","None","N","Y","N","N","0",1,"Y",87,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,12,1,6,6,"NY"
"ACUP","C",50,72.4,"SO",0,"White","med","Y","N","87","none","35","","Y","Y","N","N","0",1,"Y",87,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,7,1,1,1,0,1,0,1,0,0,0,1,1,7,1,5,2,"YY"
"ACUP","B",74,83.2,"FR",0,"Asian","med","Y","Y","79","PAP","356","None","N","N","N","N","11-19",1,"Y",87,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,8,1,0,0,1,1,1,1,0,1,1,1,0,8,1,5,3,"NN"
"ACUP","F",56,54.5,"SR",0,"Hisp","other","Y","N","84","Reg","5","6","N","N","N","N","0",2,"",78,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,1,0,0,1,0,0,0,0,0,1,1,1,5,0,2,3,"NN"
"ACUP","B",92,89.3,"SR",1,"White","stem","Y","Y","75","PAP","1","None","N","Y","N","Y","1-10",1,"Y",78,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,9,0,1,1,1,1,1,1,1,1,1,1,1,11,1,5,6,"NY"
"ACUP","A",94,91.9,"SR",1,"White","other","Y","Y","76","Reg","3","None","Y","Y","N","Y","11-19",1,"Y",87,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,9,1,1,1,1,1,0,1,0,1,1,1,1,10,1,6,4,"YY"
"ACUP","C",76,75.2,"FR",1,"White","stem","Y","Y","78","Reg","4","5","Other","Y","N","N","0",1,"Y",78,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,6,0,1,1,1,1,0,0,0,0,0,1,1,6,1,3,3,"N/A"
"ACUP","C",75,78.6,"FR",1,"White","stem","Y","Y","76","Reg","45","5","N","N","N","N","0",1,"N",87,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,9,0,0,0,1,1,0,1,0,1,1,0,1,6,1,3,3,"NN"
"ACUP","A",88,90.8,"SO",1,"White","med","Y","Y","76","Reg","35","None","Other","Y","N","N","0",1,"Y",78,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,1,1,0,10,1,6,4,"N/A"
"ACUP","B",82,85.2,"FR",0,"Black","med","Y","Y","78","Reg","6","6","N","Y","N","N","0",1,"Y",78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,8,1,6,2,"NY"
"ACUP","A",93,91.3,"SO",1,"White","stem","Y","Y","77","AP","567","None","Other","Y","N","N","0",1,"N",87,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,8,1,1,1,0,1,1,1,1,1,1,1,1,11,1,6,5,"N/A"
"ACUP","C",84,78.8,"FR",1,"White","med","Y","Y","75","Reg","345","None","N","Y","N","N","0",1,"Y",78,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,15,1,1,1,1,1,0,1,0,1,1,1,0,9,1,6,3,"NY"
"ACUP","D",68,63.6,"FR",1,"Hisp","med","Y","Y","78","Reg AP","4","None","N","N","N","N","0",1,"Y",78,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,13,1,1,0,0,1,1,1,0,0,1,0,1,7,0,3,4,"NN"
"ACUP","C",78,76.1,"SO",1,"Hisp","stem","Y","Y","79","PAP","1","None","Y","Y","N","Y","11-19",2,"Y",78,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,7,0,0,1,1,1,1,1,1,1,1,1,1,10,1,5,5,"YY"
"ACUP","A",94,92.6,"JR",1,"White","dual","Y","N","73","AP","5","3","Y","Y","N","N","0",1,"Y",78,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,12,1,1,1,1,1,1,1,0,1,1,1,1,11,1,6,5,"YY"
"ACUP","A",88,92.6,"SR",1,"White","stem","Y","Y","76","PAP","567","None","Y","Y","N","N","0",1,"Y",87,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,16,1,1,1,1,1,1,1,0,1,1,1,1,11,1,6,5,"YY"
"ACUP","B",82,85.6,"FR",0,"White","med","Y","Y","76","PAP","345","None","Other","Y","N","Y","11-19",1,"Y",78,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,8,1,1,1,0,1,0,1,0,1,1,1,0,8,1,6,2,"N/A"
"ACUP","C",58,70,"FR",0,"White","stem","Y","Y","75","PAP","45","6","N","N","N","N","0",1,"Y",78,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,3,0,2,1,"NN"
"ACUP","C",73,73,"FR",1,"White","med","Y","Y","78","PAP","345","None","Other","Y","N","N","0",1,"Y",87,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,1,0,1,1,1,1,0,0,0,0,0,6,1,3,3,"N/A"
"ACUP","A",92,94.6,"FR",0,"White","med","Y","Y","78","PAP","6","None","Y","Y","N","N","0",1,"Y",78,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,14,1,1,1,1,1,0,1,0,1,1,1,1,10,1,6,4,"YY"
"ACUP","A",96,92.8,"SO",0,"White","stem","Y","Y","76","PAP","1","5","Y","Y","N","N","0",1,"Y",78,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,4,1,1,1,0,0,0,1,0,1,1,1,1,8,1,5,3,"YY"
"ACUP","F",54,56.3,"SO",1,"Hisp","stem","Y","Y","79","PAP","456","None","N","N","N","N","0",1,"Y",78,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,3,0,2,1,"NN"
"ACUP","D",70,66.9,"SO",1,"Black","dual","N","Y","77","PAP","5","5","N","N","Y","N","1-10",1,"",78,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,1,"NN"
"ACUP","A",94,96.5,"FR",1,"White","med","Y","Y","76","PAP","567","None","N","Y","N","N","0",1,"Y",87,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,17,1,1,1,1,1,0,1,1,1,1,1,0,10,1,6,4,"NY"
"ACUP","B",80,87.2,"FR",0,"White","stem","Y","Y","78","Reg","6","7","Y","Y","N","N","0",1,"Y",78,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,14,1,0,1,1,1,0,1,1,1,1,1,1,10,1,6,4,"YY"
"ACUP","B",90,85.8,"FR",0,"White","med","Y","Y","78","Reg","456","3","Y","Y","N","N","0",1,"Y",87,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,0,1,1,1,1,1,0,10,1,6,4,"YY"
"ACUP","A",96,95.2,"FR",0,"White","med","Y","Y","76","PAP AP ","67","None","Y","Y","N","N","0",1,"Y",78,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,15,1,1,1,1,1,1,1,0,1,1,1,1,11,1,6,5,"YY"
"ACUP","D",62,68.5,"FR",1,"Hisp","stem","Y","Y","79","PAP","56","7","N","Y","Y","Y","11-19",1,"Y",87,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,7,0,0,0,1,1,0,1,1,0,1,1,1,7,0,3,4,"NY"
"ACUP","B",78,81,"FR",1,"Asian","med","Y","Y","79","PAP","45","None","N","Y","N","N","0",1,"Y",87,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,5,1,1,1,1,0,0,1,0,1,1,1,1,9,1,5,4,"NY"
"ACUP","B",81,85.4,"FR",0,"White","med","Y","Y","76","PAP AP ","23","None","Y","Y","N","N","0",1,"Y",87,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,9,1,1,1,0,1,0,1,0,0,1,1,1,8,1,5,3,"YY"
"ACUP","C",58,70.8,"FR",0,"Hisp","other","Y","Y","78","PAP","34","None","Y","Y","N","N","0",1,"Y",78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,5,1,2,3,"YY"
"ACUP","A",96,95.5,"SO",1,"White","med","Y","Y","75","Reg","5","None","N","Y","N","N","0",1,"Y",87,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,12,1,1,1,1,1,0,1,1,1,1,1,0,10,1,6,4,"NY"
"ACUP","B",80,86.7,"FR",1,"White","stem","Y","Y","75","PAP","245","7","Other","Y","N","N","0",1,"N",78,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,15,1,1,0,1,1,1,1,1,1,1,1,1,11,1,5,6,"N/A"
"ACUP","C",79,78,"SO",1,"White","med","Y","Y","78","PAP","45","None","Y","Y","N","N","0",1,"Y",87,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7,1,1,1,1,0,0,1,1,1,1,1,1,10,1,5,5,"YY"
"ACUP","C",72,77.5,"FR",0,"White","med","Y","Y","75","PAP","45","None","Y","Y","N","N","0",1,"N",87,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,13,1,1,1,1,1,0,1,0,1,0,1,1,9,1,6,3,"YY"
"ACUP","F",40,45.8,"FR",1,"Hisp","med","Y","Y","78","PAP","345","None","Other","Other","Y","N","11-19",1,"Y",87,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,1,1,1,0,0,1,0,1,1,1,0,8,0,5,3,"N/A"
"ACUP","B",82,85.1,"SO",0,"White","med","Y","Y","75","PAP","234","None","Y","Y","N","N","0",1,"Y",78,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,10,1,1,1,0,1,0,1,0,1,1,0,0,7,1,5,2,"YY"
"ACUP","C",64,70.2,"SO",0,"Hisp","med","Y","Y","78","AP","45","None","Other","Y","N","N","0",1,"Y",87,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,3,1,1,2,"N/A"
"ACUP","C",89,72.4,"SO",1,"White","other","Y","Y","76","Reg","5","None","N","N","N","N","0",1,"Y",78,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,13,1,1,1,1,0,0,1,1,1,1,1,1,10,1,5,5,"NN"
"ACUP","C",75,76.8,"SO",1,"White","stem","Y","N","77","Reg","45","7","Y","Y","N","N","0",1,"N",78,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,11,1,1,0,1,1,0,1,1,1,0,1,1,9,1,5,4,"YY"
"ACUP","A",94,94.5,"FR",0,"White","med","Y","Y","78","PAP","1","None","Y","Y","N","N","0",1,"Y",78,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,11,1,1,1,1,1,1,0,1,1,1,1,1,11,1,5,6,"YY"
"ACUP","B",84,81.3,"JR",1,"White","stem","Y","Y","79","PAP","5","None","Y","Y","N","N","0",1,"Y",78,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,9,1,1,0,1,1,1,1,0,1,1,1,0,9,1,5,4,"YY"
"ACUP","C",62,72.4,"SO",1,"White","stem","Y","Y","75","PAP","2345","7","Y","Y","N","N","0",1,"N",78,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,9,1,1,1,0,1,1,0,0,1,1,1,1,9,1,5,4,"YY"
"ACUP","A",96,95.8,"FR",1,"Asian","stem","Y","N","N/A","Reg","345","","N","Y","N","N","0",1,"Y",78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,0,11,1,6,5,"NY"
"ACUP","B",82,80.4,"SO",0,"Hisp","other","Y","Y","78","PAP","234","None","Other","Y","Y","Y","11-19",1,"Y",87,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,1,0,1,1,0,1,0,1,1,1,1,9,1,5,4,"N/A"
"ACUP","B",84,83.9,"FR",1,"Black","med","Y","Y","79","PAP","5","None","Other","Y","N","N","0",1,"Y",87,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,17,0,1,1,1,1,1,0,1,1,1,0,1,9,1,3,6,"N/A"
"ACUP","B",86,88.7,"FR",0,"White","stem","Y","Y","75","PAP","1","6","Y","Y","N","N","0",1,"Y",87,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,17,1,1,0,1,1,1,1,1,1,1,1,1,11,1,5,6,"YY"
"ACUP","B",70,81.2,"FR",1,"White","stem","Y","Y","76","Reg","5","4","N","N","N","N","0",1,"Y",78,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,15,1,1,0,0,0,1,0,1,1,1,1,1,8,1,3,5,"NN"
"ACUP","B",86,83.4,"FR",1,"White","stem","Y","Y","79","AP","6","4","Other","Y","N","N","0",1,"Y",78,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,13,1,1,1,0,1,1,1,1,1,1,1,1,11,1,6,5,"N/A"
"ACUP","C",74,70.1,"SR",1,"White","stem","Y","Y","79","PAP","567","7","Y","Y","N","N","0",1,"Y",78,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,12,1,1,1,1,0,0,1,1,1,1,1,1,10,1,5,5,"YY"
"ACUP","D",48,68.1,"FR",0,"Hisp","med","Y","Y","78","PAP","4","None","N","Y","N","N","0",1,"Y",87,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6,1,0,0,0,1,0,1,0,0,0,0,0,3,0,3,0,"NY"
"ACUP","B",86,88.6,"FR",0,"White","med","Y","Y","78","PAP","567","None","Y","Y","N","N","0",1,"Y",87,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,11,1,0,1,1,1,0,1,0,1,1,1,1,9,1,6,3,"YY"
"ACUP","A",96,95.5,"FR",0,"White","med","Y","Y","78","Reg","5","None","Other","Y","N","N","0",1,"Y",78,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,7,1,0,1,1,1,0,1,0,1,1,1,1,9,1,6,3,"N/A"
"ACUP","A",96,95.7,"FR",1,"White","stem","Y","Y","79","PAP","56","None","Other","Y","N","N","0",1,"N",87,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,18,1,1,1,1,0,1,1,1,1,1,1,1,11,1,5,6,"N/A"
"ACUP","B",82,86,"JR",0,"Black","stem","Y","N","74","Reg","5","None","Other","Y","N","Y","20-29",1,"Y",78,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,9,1,1,1,1,1,0,1,0,1,1,1,0,9,1,6,3,"N/A"
"ACUP","A",96,91.5,"FR",1,"White","med","Y","Y","76","Reg","5","None","Y","Y","N","N","0",1,"Y",87,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,9,1,1,0,1,1,0,1,0,0,1,1,0,7,1,4,3,"YY"
"ACUP","A",94,94.3,"FR",1,"White","med","Y","Y","76","AP","4567","None","Y","Y","N","Y","1-10",1,"Y",87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,0,1,1,1,1,1,0,0,1,1,1,9,1,5,4,"YY"
"ACUP","B",76,83.2,"SO",0,"White","med","Y","N","78","Reg","35","None","Y","Y","Y","N","1-10",1,"Y",78,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,15,1,1,1,1,0,0,1,1,1,1,1,0,9,1,5,4,"YY"
"ACUP","B",90,88.9,"FR",0,"White","med","Y","N","85","PAP","3567","None","Y","Y","N","N","0",1,"Y",78,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,16,1,1,1,0,1,1,1,0,1,1,1,1,10,1,6,4,"YY"
"ACUP","B",73,81.9,"SR",0,"Black","med","Y","N","85","none","35","None","N","N","N","N","0",1,"Y",87,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,1,1,1,1,0,1,0,1,1,1,1,10,1,6,4,"NN"
"ACUP","A",88,92.4,"SO",0,"White","med","Y","Y","78","PAP","56","None","Y","Y","N","N","0",1,"Y",78,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,0,11,1,6,5,"YY"
"ACUP","A",100,93.1,"FR",1,"White","med","Y","Y","75","PAP","356","None","Y","Y","N","N","0",1,"Y",78,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,13,1,1,1,1,1,1,0,1,1,1,1,0,10,1,5,5,"YY"
"ACUP","A",86,92.2,"FR",0,"White","med","Y","Y","77","AP","56","None","Y","Y","N","N","0",1,"Y",87,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5,1,1,1,1,1,0,1,1,1,1,1,1,11,1,6,5,"YY"
"ACUP","B",88,86.9,"FR",0,"White","med","Y","Y","76","PAP","36","None","Other","Y","N","N","0",1,"Y",87,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,14,1,1,1,1,1,1,1,1,1,1,1,1,12,1,6,6,"N/A"
